k,rho,n_1,alpha,pct_greater_d
2,8,6,0.05,0.099
2,8,6,0.1,0.0038
2,8,7,0.05,0.0012
2,8,7,0.1,2e-4
2,8,8,0.05,0.0055
2,8,8,0.1,4e-4
2,8,9,0.05,4e-4
2,8,9,0.1,0
2,8,10,0.05,0.0055
2,8,10,0.1,0
2,8,11,0.05,0
2,8,11,0.1,0
2,10,2,0.05,0.6849
2,10,2,0.1,0.5714
2,10,3,0.05,0.3961
2,10,3,0.1,0.3047
2,10,4,0.05,0.2787
2,10,4,0.1,0.1242
2,10,5,0.05,0.1083
2,10,5,0.1,0.1435
2,10,6,0.05,0.0015
2,10,6,0.1,4e-4
2,10,7,0.05,1e-4
2,10,7,0.1,1e-4
2,10,8,0.05,2e-4
2,10,8,0.1,1e-4
2,10,9,0.05,1e-4
2,10,9,0.1,0
2,10,10,0.05,0
2,10,10,0.1,0
2,10,11,0.05,0
2,10,11,0.1,0
2,12,2,0.05,0.6779
2,12,2,0.1,0.566
2,12,3,0.05,0.4518
2,12,3,0.1,0.3026
2,12,4,0.05,0.2725
2,12,4,0.1,0.0548
2,12,5,0.05,0.3882
2,12,5,0.1,2e-4
2,12,6,0.05,0.0015
2,12,6,0.1,8e-4
2,12,7,0.05,1e-4
2,12,7,0.1,0
2,12,8,0.05,1e-4
2,12,8,0.1,1e-4
2,12,9,0.05,0
2,12,9,0.1,0
2,12,10,0.05,0
2,12,10,0.1,0
2,12,11,0.05,0
2,12,11,0.1,0
4,2,2,0.05,0.9546
4,2,2,0.1,0.9339
4,2,3,0.05,0.9149
4,2,3,0.1,0.8242
4,2,4,0.05,0.8063
4,2,4,0.1,0.6811
4,2,5,0.05,0.73
4,2,5,0.1,0.5519
4,2,6,0.05,0.5975
4,2,6,0.1,0.3725
4,2,7,0.05,0.5501
4,2,7,0.1,0.1739
4,2,8,0.05,0.3597
4,2,8,0.1,0.1738
4,2,9,0.05,0.4806
4,2,9,0.1,0.0067
4,2,10,0.05,0.5819
4,2,10,0.1,0.0537
4,2,11,0.05,0.156
4,2,11,0.1,0.0025
4,4,2,0.05,0.9511
4,4,2,0.1,0.9095
4,4,3,0.05,0.8424
4,4,3,0.1,0.7141
4,4,4,0.05,0.7366
4,4,4,0.1,0.5125
4,4,5,0.05,0.6373
4,4,5,0.1,0.4074
4,4,6,0.05,0.3265
4,4,6,0.1,0.1608
4,4,7,0.05,0.2755
4,4,7,0.1,0.1964
